Company,Categories,Stage,HQ,Heard on the show,Tech to Watch,Website,What they do
Stack,Preconstruction & Estimating,Unknown,,,,,AI-enabled construction takeoff and estimating software platform (STACK Construction Technologies).
STACK Construction Technologies,Preconstruction & Estimating,Growth / PE,,,,,Cloud-based takeoff and estimating software vendor for construction preconstruction teams.
StirlingX,Reality Capture,Series A,United Kingdom,,,https://www.stirlingx.io,"UK drone operator providing survey, mapping, inspection, and scan-to-BIM data intelligence for construction sites."
Stratus,Field Operations,Unknown,,,,,Shop/fabrication management software for tracking off-site fabrication in trades such as sheet metal.
Structured AI,Field Operations,Seed,,,,https://getstructured.ai,YC-backed computer-vision QA/QC checking completed fieldwork and drawing sets against construction documents
SubBase,Supply Chain & Procurement; Financial / Payments,Series A,"Fort Lauderdale, FL",,,,"Materials procurement and payments platform for construction, helping contractors manage supplier transactions."
SUSA International,Supply Chain & Procurement; Sustainability,Unknown,,,,,Circular-economy asset disposition and resale company for construction equipment/assets.
TerraFirma,Robotics & Hardware; Field Operations,Series A,"Austin, TX",,,https://www.terrafirma.inc,"Vertically integrated earthworks contractor that retrofits excavators, dozers and loaders into semi-autonomous machines run from a remote command center, selling site work as a service rather than selling software."
TestFit,Preconstruction & Estimating; Design / BIM / VDC,Series B,,,,,AI-powered feasibility and site-planning software letting AEC teams rapidly test massing and program options.
The Link,AI / Data Infrastructure,Bootstrapped,,yes,yes,https://thelink.ai,Spec data platform ('SpecGPT') pivoted to AI strategy consulting and integration for contractors (AI Edge offering with Jay Snyder / BBI)
Timescapes,Reality Capture,Unknown,,,,,Jobsite timelapse camera and visual progress-documentation platform for construction projects.
Togal,Preconstruction & Estimating,Unknown,,,,,AI-enabled takeoff software for automating quantity takeoffs from construction drawings.
Togal.ai,Preconstruction & Estimating,Series A,"Miami, FL",yes,,https://togal.ai,AI-powered takeoff and estimating from construction drawings
Torus,Design / BIM / VDC; AI / Data Infrastructure,Seed,"San Francisco, CA",,,https://www.usetorus.com,"AI agents that run 50+ cross-document consistency checks across specs, drawings, and datasheets for capital-project engineering (EPC) firms."
Track3D,Reality Capture,Series A,"Milpitas, CA",,,https://track3d.ai,"AI reality-intelligence consolidating 360, drone and lidar captures to track progress and detect deviations against plan"
Trade,Financial / Payments; Workforce / Training,Series A,,,,,Construction back-office and payroll operating system built for specialty trade contractors.
Trayd,Financial / Payments; Workforce / Training,Series A,"New York, NY",,,https://www.trayd.co,"Payroll and back-office platform for specialty trade contractors: same-day pay, prevailing-wage compliance, labor cost tracking"
Trunk Tools,AI / Data Infrastructure; Field Operations,Series B,"New York, NY",yes,,https://trunk.tools,AI agents over construction documents for field question-answering and workflow automation
Unlimited Industries,AI / Data Infrastructure,Seed,"San Francisco, CA",,,https://www.unlimitedindustries.com,AI-native vertically integrated E&C company building an AI-powered delivery stack for infrastructure and capital projects
UpCodes,Design / BIM / VDC,Unknown,,,,,"Platform aggregating building, plumbing, and fire codes into a searchable tool for design and compliance research."
Versatile,Field Operations; AI / Data Infrastructure,Unknown,,,,,Crane-mounted IoT sensor and data company providing jobsite productivity analytics.
Veyor,Supply Chain & Procurement,Series A,,,,,Delivery and material-management startup for construction site logistics.
viAct,Safety,Series A,Hong Kong,,,https://www.viact.ai,"Real-time AI video analytics detecting hazards, unsafe behavior and compliance issues on construction sites"
VIATechnik (Voyager),Owner / Facilities,Unknown,,,yes,https://viatechnik.com/capabilities/software-solutions/voyager,"Web-based digital twin centralizing BIM, CMMS, BMS, IoT and reality-capture data for owners/operators"
Wyre AI,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,,AI-native preconstruction software company building tools for early-stage project scoping and estimating.
XBuild,Preconstruction & Estimating,Series A,"San Francisco, CA",,,https://x.build,"AI-native chat-based estimating that turns measurement reports and site photos into finished contractor estimates, starting with residential roofing"
Xpanner,Robotics & Hardware,Series B,"Santa Fe Springs, CA",,,https://www.xpanner.com,"Automation-as-a-service retrofitting equipment with physical-AI autonomy for piling and material handling (solar, battery, data center sites)"
Zabidou,Reality Capture; Robotics & Hardware; AI / Data Infrastructure,Seed,Australia,,,,"Laser-and-camera sensing system that reads material properties in real time on prefabrication and industrial production lines, retrofittable to existing lines."
Zebel,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,,Preconstruction data analytics platform helping teams benchmark and analyze historical project cost/performance data.
Zero RFI,Project Management; Preconstruction & Estimating,Unknown,"Atlanta, GA",,,,AI to eliminate RFIs by resolving document conflicts before they hit the field
